scorer,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo
bodyparts,nose,nose,leftear,leftear,rightear,rightear,lefthand,lefthand,righthand,righthand,leftfoot,leftfoot,rightfoot,rightfoot,tailbegin,tailbegin,tailend,tailend
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Subject3_0512\img00311.png,130.40753098188725,867.5782075644416,185.35737283694948,788.3857884203815,,,,,,,,,435.86400482326235,901.517815769039,434.24783300399577,788.3857884203815,332.4290083902042,537.8791564340685
labeled-data\Subject3_0512\img00406.png,156.2662800901519,437.67650363954317,211.2161219452139,481.31314275973966,250.00424560761076,487.7778300368059,138.48839007821994,533.0306409762688,,,356.67158567920205,885.3560975763736,267.7821356195427,870.8105512029747,400.30822479939866,823.9415684442453,600.713530388449,898.2854721305058
labeled-data\Subject3_0512\img00415.png,188.58971647548242,390.8075208808136,212.83229376448048,424.74712908541096,266.16596380027613,436.0603318202766,135.25604643968677,533.0306409762688,,,361.5201011370018,885.3560975763736,254.8527610654105,869.1943793837082,390.6111938837994,794.8504756974476,597.4811867499159,903.1339875883054
labeled-data\Subject3_0512\img00583.png,597.4811867499159,596.0613419276638,,,489.197674859058,663.9405583368582,518.2887676058556,909.5986748653715,,,,,413.23759935353087,914.4471903231712,,,,
labeled-data\Subject3_0512\img00703.png,377.6818193296672,255.04908806242474,,,356.67158567920205,353.63556903768335,603.945874026982,484.5454863982727,497.2785339553907,400.5045517964129,453.6418948351943,886.9722693956401,408.38908389573135,911.2148466846381,356.67158567920205,798.0828193359806,445.5610357388616,854.6488330103094
labeled-data\Subject3_0512\img00745.png,,,,,,,,,,,453.6418948351943,891.8207848534397,418.0861148113304,916.0633621424378,245.15573014981123,856.2650048295759,,
labeled-data\Subject3_0512\img00868.png,377.6818193296672,476.46462730194,350.20689840213595,508.7880636872708,424.5508020883967,518.48509460287,,,,,372.83330387186743,885.3560975763736,,,485.96533122052506,865.9620357451752,296.8732283663403,946.7706267085019
labeled-data\Subject3_0512\img01003.png,93.23557913875698,885.3560975763736,178.89268555988338,799.6989911552472,,,214.44846558374707,895.0531284919728,,,395.4597093415989,882.1237539378405,,,508.59173669025654,820.7092248057121,498.89470577465727,930.6089085158366
labeled-data\Subject3_0512\img01056.png,169.1956546442841,356.8679126762165,262.9336201617432,447.37353455514244,,,190.205888294749,510.40423550653736,143.33690553601946,515.2527509643369,250.00424560761076,914.4471903231712,170.8118264635507,899.9016439497724,,,434.24783300399577,856.2650048295759
labeled-data\Subject3_0512\img01133.png,91.61940731949039,303.53424264042087,224.14549649934634,368.18111541108215,,,162.730967367218,434.44416000101023,72.22534548829185,476.46462730194,246.77190196907782,911.2148466846381,165.96331100575094,899.9016439497724,,,439.0963484617955,856.2650048295759
labeled-data\Subject3_0512\img01162.png,322.73197747460495,521.7174382414031,,,245.15573014981123,465.1514245670744,262.9336201617432,673.6375892524574,177.2765137406168,537.8791564340685,253.23658924614392,906.3663312268385,164.34713918648436,895.0531284919728,292.0247129085408,825.5577402635117,452.0257230159277,862.7296921066421
labeled-data\Subject3_0512\img01310.png,544.1475167141202,276.05932171288964,,,427.78314572692966,327.7768199294187,603.945874026982,469.9999400248739,579.7032967379841,432.82798818174365,,,437.48017664252893,919.2957057809708,317.8834620168054,786.7696166011149,148.1854209938192,877.2752384800409
labeled-data\Subject3_0512\img01353.png,603.945874026982,305.1504144596872,,,466.5712693893265,352.01939721841677,602.3297022077156,478.0807991212066,579.7032967379841,461.91908092854123,,,426.1669739076631,914.4471903231712,301.72174382414005,796.4666475167141,232.22635559567902,874.0428948415079
labeled-data\Subject3_0512\img01399.png,,,461.722753931527,411.81775453127875,523.1372830636553,389.19134906154727,,,605.5620458462486,482.92931457900625,,,435.86400482326235,919.2957057809708,311.4187747397391,804.5475066130468,254.8527610654105,864.3458639259086
labeled-data\Subject3_0512\img01406.png,,,453.6418948351943,521.7174382414031,519.9049394251222,497.47486095240504,,,591.0164994728498,578.2834519157318,419.702286630597,895.0531284919728,426.1669739076631,922.5280494195039,250.00424560761076,833.6385993598444,,
labeled-data\Subject3_0512\img01463.png,,,,,,,,,,,,,439.0963484617955,920.9118776002374,292.0247129085408,870.8105512029747,90.00323550022381,891.8207848534397
labeled-data\Subject3_0512\img01577.png,224.14549649934634,746.3653211194516,335.66135202873716,741.5168056616519,,,317.8834620168054,899.9016439497724,,,,,,,582.9356403765171,869.1943793837082,271.0144792580759,932.2250803351031
