scorer,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo
bodyparts,nose,nose,leftear,leftear,rightear,rightear,lefthand,lefthand,righthand,righthand,leftfoot,leftfoot,rightfoot,rightfoot,tailbegin,tailbegin,tailend,tailend
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Subject4_0512\img00388.png,,,207.98377830668096,471.6161118441405,266.16596380027613,505.5557200487377,93.23557913875698,536.2629846148019,132.02370280115383,518.48509460287,337.27752384800374,972.6293758167665,195.05440375254852,962.9323449011673,359.9039293177352,869.1943793837082,484.3491594012585,941.9221112507023
labeled-data\Subject4_0512\img00785.png,191.82206011401558,678.486104710257,269.3983074388093,649.3950119634594,290.4085410892742,620.3039192166617,235.45869923421196,759.2946956735838,,,292.0247129085408,943.5382830699689,,,401.92439661866524,930.6089085158366,248.3880737883444,1009.8013276598967
labeled-data\Subject4_0512\img00894.png,182.1250291984163,439.29267545880975,258.08510470394344,503.93954822947114,,,149.80159281308556,631.6171219515275,178.89268555988338,597.6775137469302,304.954087462673,950.002970347035,392.22736570306597,941.9221112507023,418.0861148113304,877.2752384800409,380.9141629682001,1004.9528122020972
labeled-data\Subject4_0512\img01273.png,178.89268555988338,453.83822183220855,259.70127652321,491.01017367533893,,,230.61018377641244,610.6068883010626,,,329.19666475167105,948.3867985277684,393.84353752233255,933.8412521543696,426.1669739076631,865.9620357451752,314.65111837827226,1000.1042967442976
labeled-data\Subject4_0512\img01432.png,497.2785339553907,453.83822183220855,411.6214275342643,487.7778300368059,455.2580666544609,508.7880636872708,,,519.9049394251222,563.737905542333,317.8834620168054,948.3867985277684,410.00525571499793,935.4574239736362,363.1362729562684,893.4369566727063,261.3174483424766,1009.8013276598967
labeled-data\Subject4_0512\img01560.png,271.0144792580759,326.16064811015235,332.4290083902042,431.21181636247707,,,233.84252741494538,476.46462730194,191.82206011401558,552.4247028074673,300.10557200487347,982.3264067323657,228.99401195714586,969.3970321782334,,,456.87423847372725,911.2148466846381
labeled-data\Subject4_0512\img01792.png,471.41978484712627,691.4154792643893,,,356.67158567920205,604.1422010239963,434.24783300399577,798.0828193359806,356.67158567920205,746.3653211194516,301.72174382414005,983.9425785516322,220.91315286081317,974.245547636033,,,469.8036130278597,940.3059394314358
labeled-data\Subject4_0512\img02309.png,,,458.49041029299383,468.38376820560745,539.2990012563207,432.82798818174365,,,595.8650149306493,442.5250190973429,,,458.49041029299383,977.4778912745661,343.74221112506984,854.6488330103094,132.02370280115383,962.9323449011673
labeled-data\Subject4_0512\img02482.png,610.4105613040483,961.3161730819007,,,571.6224376416515,843.3356302754437,,,532.8343139792546,972.6293758167665,439.0963484617955,956.4676576241011,437.48017664252893,985.5587503708988,222.52932468007975,935.4574239736362,,
labeled-data\Subject4_0512\img02588.png,,,235.45869923421196,796.4666475167141,,,224.14549649934634,961.3161730819007,,,311.4187747397391,995.255781286498,,,516.6725957865892,958.0838294433677,587.7841558343166,911.2148466846381
labeled-data\Subject4_0512\img02711.png,123.94284370482114,848.1841457332432,193.43823193328217,728.5874311075196,,,153.03393645161873,865.9620357451752,,,314.65111837827226,993.6396094672314,306.57025928193957,974.245547636033,490.8138466783246,959.7000012626343,566.7739221838517,938.6897676121692
labeled-data\Subject4_0512\img02883.png,130.40753098188725,654.243527421259,235.45869923421196,672.0214174331909,,,159.49862372868483,783.5372729625818,,,324.34814929387153,995.255781286498,308.18643110120615,974.245547636033,495.6623621361241,946.7706267085019,568.3900940031183,935.4574239736362
labeled-data\Subject4_0512\img03277.png,238.69104287274513,469.9999400248739,227.37784013787928,528.1821255184692,290.4085410892742,528.1821255184692,,,,,,,283.9438538122081,959.7000012626343,214.44846558374707,927.3765648773035,340.5098674865369,1029.1953894910953
labeled-data\Subject4_0512\img03379.png,469.8036130278597,891.8207848534397,,,392.22736570306597,828.7900839020448,406.77291207646476,930.6089085158366,345.3583829443364,937.0735957929027,,,292.0247129085408,956.4676576241011,164.34713918648436,946.7706267085019,308.18643110120615,995.255781286498
labeled-data\Subject4_0512\img03656.png,262.9336201617432,977.4778912745661,313.0349465590057,844.9518020947102,350.20689840213595,880.507582118574,431.0154893654628,1000.1042967442976,,,,,,,,,136.87221825895335,909.5986748653715
labeled-data\Subject4_0512\img03772.png,322.73197747460495,318.07978901381966,,,388.9950220645328,406.969239073479,384.1465066067333,474.84845548267356,306.57025928193957,479.6969709404732,466.5712693893265,962.9323449011673,338.8936956672703,977.4778912745661,,,285.5600256314747,932.2250803351031
