scorer,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo
bodyparts,nose,nose,leftear,leftear,rightear,rightear,lefthand,lefthand,righthand,righthand,leftfoot,leftfoot,rightfoot,rightfoot,tailbegin,tailbegin,tailend,tailend
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Subject2_0512\img00250.png,,,,,,,,,,,,,,,,,256.46893288467686,806.1636784323133
labeled-data\Subject2_0512\img00385.png,114.24581278922187,993.6396094672314,188.58971647548242,859.497348468109,109.39729733142235,846.5679739139767,169.1956546442841,988.7910940094318,90.00323550022381,977.4778912745661,220.91315286081317,971.0132039975,212.83229376448048,950.002970347035,393.84353752233255,907.9825030461051,558.693063087519,966.1646885397004
labeled-data\Subject2_0512\img00519.png,582.9356403765171,518.48509460287,,,473.0359566663926,545.9600155304012,,,578.0871249187176,646.1626683249264,,,406.77291207646476,956.4676576241011,271.0144792580759,914.4471903231712,111.0134691506887,956.4676576241011
labeled-data\Subject2_0512\img00571.png,355.0554138599357,1017.8821867562294,453.6418948351943,891.8207848534397,369.6009602333345,872.4267230222413,453.6418948351943,1003.3366403828306,,,,,,,235.45869923421196,882.1237539378405,,
labeled-data\Subject2_0512\img00591.png,293.64088472780736,877.2752384800409,390.6111938837994,849.8003175525098,,,443.94486391959504,990.4072658286984,322.73197747460495,995.255781286498,,,,,,,130.40753098188725,927.3765648773035
labeled-data\Subject2_0512\img00672.png,489.197674859058,371.4134590496153,,,369.6009602333345,440.90884727807634,411.6214275342643,521.7174382414031,254.8527610654105,544.3438437111346,432.6316611847294,993.6396094672314,338.8936956672703,979.0940630938326,,,,
labeled-data\Subject2_0512\img00681.png,343.74221112506984,499.0910327716716,421.31845844986356,526.5659536992027,,,376.0656475104006,589.5966546505975,245.15573014981123,584.7481391927979,432.6316611847294,993.6396094672314,340.5098674865369,983.9425785516322,,,,
labeled-data\Subject2_0512\img00746.png,,,195.05440375254852,853.0326611910428,,,,,,,439.0963484617955,992.0234376479649,,,547.3798603526534,916.0633621424378,,
labeled-data\Subject2_0512\img00878.png,279.09533835440857,594.4451701083972,253.23658924614392,631.6171219515275,319.4996338360718,628.3847783129944,,,,,,,,,405.1567402571982,946.7706267085019,599.0973585691825,972.6293758167665
labeled-data\Subject2_0512\img00990.png,201.51909102961486,665.5567301561248,264.54979198100955,673.6375892524574,313.0349465590057,662.3243865175916,222.52932468007975,798.0828193359806,,,282.3276819929415,956.4676576241011,418.0861148113304,930.6089085158366,600.713530388449,979.0940630938326,,
labeled-data\Subject2_0512\img01016.png,85.15472004242429,899.9016439497724,182.1250291984163,832.022427540578,149.80159281308556,791.6181320589145,174.04417010208363,964.5485167204338,162.730967367218,770.6078984084495,,,,,426.1669739076631,917.6795339617042,600.713530388449,980.7102349130992
labeled-data\Subject2_0512\img01068.png,133.6398746204202,460.30290910927465,212.83229376448048,549.1923591689342,,,75.45768912682502,630.000950132261,96.46792277728991,599.2936855661968,212.83229376448048,959.7000012626343,220.91315286081317,940.3059394314358,330.81283657093763,903.1339875883054,548.9960321719198,959.7000012626343
labeled-data\Subject2_0512\img01101.png,120.71050006628798,418.28244180834486,196.6705755718151,499.0910327716716,,,83.5385482231577,633.233293770794,96.46792277728991,610.6068883010626,219.2969810415466,962.9323449011673,219.2969810415466,941.9221112507023,345.3583829443364,880.507582118574,545.7636885333868,958.0838294433677
labeled-data\Subject2_0512\img01340.png,578.0871249187176,400.5045517964129,,,469.8036130278597,476.46462730194,,,582.9356403765171,557.2732182652669,,,432.6316611847294,971.0132039975,337.27752384800374,886.9722693956401,190.205888294749,927.3765648773035
labeled-data\Subject2_0512\img01461.png,,,413.23759935353087,508.7880636872708,479.50064394345895,486.1616582175393,,,571.6224376416515,557.2732182652669,,,439.0963484617955,966.1646885397004,306.57025928193957,874.0428948415079,,
labeled-data\Subject2_0512\img01552.png,209.59995012594754,933.8412521543696,274.2468228966088,835.254771179111,,,,,,,,,,,484.3491594012585,940.3059394314358,253.23658924614392,988.7910940094318
labeled-data\Subject2_0512\img01686.png,104.5487818736226,1001.720468563564,225.7616683186127,909.5986748653715,196.6705755718151,864.3458639259086,279.09533835440857,1009.8013276598967,,,411.6214275342643,966.1646885397004,,,,,584.5518121957837,979.0940630938326
labeled-data\Subject2_0512\img01703.png,107.78112551215577,773.8402420469827,248.3880737883444,804.5475066130468,,,254.8527610654105,1000.1042967442976,199.90291921034827,988.7910940094318,410.00525571499793,969.3970321782334,,,,,571.6224376416515,980.7102349130992
