scorer,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo,Qinbo
bodyparts,nose,nose,leftear,leftear,rightear,rightear,lefthand,lefthand,righthand,righthand,leftfoot,leftfoot,rightfoot,rightfoot,tailbegin,tailbegin,tailend,tailend
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Subject1_0512\img00898.png,222.52932468007975,940.3059394314358,267.7821356195427,851.4164893717764,,,,,,,,,,,298.4894001856069,956.4676576241011,518.2887676058556,1025.9630458525621
labeled-data\Subject1_0512\img00932.png,170.8118264635507,980.7102349130992,211.2161219452139,867.5782075644416,156.2662800901519,865.9620357451752,,,,,356.67158567920205,951.6191421663016,453.6418948351943,907.9825030461051,494.04619031685775,975.8617194552995,,
labeled-data\Subject1_0512\img00971.png,393.84353752233255,1000.1042967442976,392.22736570306597,878.8914102993074,316.26729019753884,895.0531284919728,,,290.4085410892742,983.9425785516322,,,,,450.40955119666114,912.8310185039047,607.1782176655151,980.7102349130992
labeled-data\Subject1_0512\img01030.png,85.15472004242429,717.2742283726539,193.43823193328217,768.991726589183,,,253.23658924614392,1009.8013276598967,144.95307735528604,992.0234376479649,325.9643211131379,953.235313985568,,,382.5303347874667,927.3765648773035,582.9356403765171,962.9323449011673
labeled-data\Subject1_0512\img01130.png,,,204.7514346681478,591.2128264698641,262.9336201617432,615.4554037588622,115.86198460848846,654.243527421259,,,306.57025928193957,979.0940630938326,254.8527610654105,956.4676576241011,387.3788502452662,916.0633621424378,545.7636885333868,953.235313985568
labeled-data\Subject1_0512\img01146.png,,,,,,,120.71050006628798,961.3161730819007,,,313.0349465590057,975.8617194552995,,,422.93463026913014,925.7603930580369,544.1475167141202,946.7706267085019
labeled-data\Subject1_0512\img01185.png,293.64088472780736,1014.6498431176965,277.479166535142,878.8914102993074,196.6705755718151,899.9016439497724,,,149.80159281308556,998.4881249250311,,,,,351.82307022140253,899.9016439497724,558.693063087519,953.235313985568
labeled-data\Subject1_0512\img01204.png,414.85377117279745,995.255781286498,361.5201011370018,864.3458639259086,324.34814929387153,896.6693003112393,329.19666475167105,1003.3366403828306,296.8732283663403,1014.6498431176965,,,133.6398746204202,980.7102349130992,,,,
labeled-data\Subject1_0512\img01295.png,599.0973585691825,772.2240702277161,,,469.8036130278597,781.9211011433152,500.51087759392385,982.3264067323657,492.43001849759116,1009.8013276598967,,,241.92338651127807,995.255781286498,,,,
labeled-data\Subject1_0512\img01342.png,303.3379156434064,686.5669638065897,,,,,405.1567402571982,718.8904001919204,382.5303347874667,982.3264067323657,295.2570565470737,967.7808603589668,243.53955833054465,990.4072658286984,,,,
labeled-data\Subject1_0512\img01351.png,358.28775749846864,547.5761873496676,,,283.9438538122081,602.5260292047299,397.0758811608655,707.5771974570547,325.9643211131379,659.0920428790586,288.7923692700076,971.0132039975,241.92338651127807,988.7910940094318,,,358.28775749846864,930.6089085158366
labeled-data\Subject1_0512\img01379.png,376.0656475104006,340.70619448355114,,,309.80260292047274,434.44416000101023,492.43001849759116,557.2732182652669,385.76267842599987,612.223060120329,292.0247129085408,964.5485167204338,246.77190196907782,983.9425785516322,,,311.4187747397393,935.4574239736362
labeled-data\Subject1_0512\img01421.png,492.43001849759116,990.4072658286984,435.8640048232626,867.5782075644416,382.5303347874667,878.8914102993074,443.94486391959504,1016.266014936963,345.3583829443364,1029.1953894910953,,,241.92338651127807,993.6396094672314,,,,
labeled-data\Subject1_0512\img01530.png,,,,,,,,,,,,,246.77190196907782,990.4072658286984,125.55901552408773,946.7706267085019,,
labeled-data\Subject1_0512\img01642.png,330.81283657093763,478.0807991212066,283.9438538122081,491.01017367533893,345.3583829443364,507.1718918680043,196.6705755718151,534.6468127955353,,,292.0247129085408,962.9323449011673,384.1465066067333,972.6293758167665,264.54979198100955,898.2854721305058,102.93261005435602,964.5485167204338
labeled-data\Subject1_0512\img01680.png,,,292.0247129085408,681.71844834879,348.5907265828696,684.9507919873232,,,,,,,382.5303347874667,980.7102349130992,248.3880737883444,967.7808603589668,102.93261005435602,966.1646885397004
labeled-data\Subject1_0512\img01714.png,153.03393645161873,956.4676576241011,214.44846558374707,859.497348468109,,,,,,,,,,,259.70127652321,967.7808603589668,86.77089186169087,975.8617194552995
labeled-data\Subject1_0512\img01832.png,282.3276819929415,895.0531284919728,285.5600256314747,820.7092248057121,201.51909102961486,835.254771179111,251.62041742687734,983.9425785516322,188.58971647548242,977.4778912745661,300.10557200487347,962.9323449011673,,,367.9847884140679,912.8310185039047,558.693063087519,964.5485167204338
